Galaxy,PID,RA_A,DEC_A,Z_A,RA_B,DEC_B,Z_B
J132921-004647,246,202.34009009159104,-0.7797445793247915,0.016448788344860077,202.4857189363198,-0.6135760164469696,0.016521774232387543
J032531-060744,1781,51.3808264059699,-6.128896938530848,0.034810785204172134,51.33070300121328,-6.205825721761495,0.0345369391143322
J122251-033121,1843,185.71445924616435,-3.5226757926337307,0.0725858137011528,185.73941496294793,-3.5130116733225587,0.07124828547239304
J110408+640447,2618,165.9718544271208,64.01442464941775,0.03225115314126015,166.03533902853283,64.07989271841787,0.032257892191410065
J081526+453531,2712,123.86094589664025,45.59221912524487,0.05100076645612717,123.87345478981926,45.63421248061128,0.05053199082612991
J082759+493325,2791,126.99699678899034,49.55713928973469,0.05319251865148544,127.07061120992346,49.593229416796085,0.054150890558958054
J080703+454035,2817,121.76275570792993,45.67641114370957,0.05022485926747322,121.75695153329616,45.70816039581544,0.04937604442238808
J090531+560126,2839,136.38128266771292,56.023944947046836,0.02544693648815155,136.31001097690893,56.089074943014424,0.02531624399125576
J101118+600045,3023,152.8265334634833,60.01269075613265,0.02216716669499874,152.99084892771492,59.871112399815495,0.022164467722177505
J094608+583149,3077,146.53669787945404,58.5305443819707,0.029942462220788002,146.47789734100547,58.51558382103537,0.030161209404468536
J094608+583149,3077,146.53669787945404,58.5305443819707,0.029942462220788002,146.47789734100547,58.51558382103537,0.030161209404468536
J081602+455853,3116,124.01002564706258,45.981536157454904,0.04389578849077225,124.12793011630944,46.002001923284006,0.0455259308218956
J135557+625731,3140,208.9882405958312,62.95861328405918,0.04422220587730408,209.16094966114582,62.998403668856625,0.044293735176324844
J090717+560005,3268,136.82362297300622,56.001604476353876,0.045224208384752274,136.85362123038368,56.012727071298954,0.04533809795975685
J090717+560005,3268,136.82362297300622,56.001604476353876,0.045224208384752274,136.85362123038368,56.012727071298954,0.04533809795975685
J083434+521309,3434,128.64338948091597,52.219169513524704,0.08265141397714615,128.6276721897879,52.23154379757366,0.08231224119663239
J074438+402158,3482,116.16140144909369,40.36635958000941,0.019823627546429634,116.09848028962048,40.34371780613488,0.01955896057188511
J074658+410628,3483,116.74542502686546,41.10803322855932,0.08579006791114807,116.73356139765423,41.14733394799157,0.08590228855609894
J075155+425119,3486,117.9794387496654,42.85552813991196,0.031789470463991165,117.89090829393973,42.91593417167673,0.032094985246658325
J082956+515824,3498,127.48444428634244,51.9734608861376,0.01742277666926384,127.27980472867935,52.032039738330965,0.017666133120656013
J075525+452621,3613,118.85635497259359,45.4393158975974,0.050703998655080795,118.83492027480463,45.45043904132845,0.050567325204610825
J075525+452621,3613,118.85635497259359,45.4393158975974,0.050703998655080795,118.83492027480463,45.45043904132845,0.050567325204610825
J091445+594334,3638,138.69071200735675,59.7263337222334,0.013836349360644817,139.1833918184726,59.774721448037816,0.013774177990853786
J100436+642913,3700,151.15012798599392,64.48700740525734,0.04033970832824707,151.2152285413829,64.47400978064677,0.040030788630247116
