GalaxyID,FASHIID,ra_h1,dec_h1,mass_ratio,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1
J112552-003941,20230004667,171.4531,-0.648,0.519573202,5.253346814,8.255788803,-0.588777661,0.0187129378318786,44.5,793.41,9.04,0.0187739
J141215-003758,20230004711,213.0641,-0.5917,200.2347367,30.82598366,10.66644096,0.378941923,0.0255911573767662,118.28,2315.25,9.71,0.0249995
J144856-004337,20230004630,222.2258,-0.7302,6.1834543,185.9697125,9.326691628,-1.352419257,0.0280712880194187,172.3,1891.13,9.73,0.028048733333333336
J104143-005322,20230004453,160.4323,-0.8941,0.444094345,194.4899263,8.73495388,-1.013503671,0.0260926205664873,135.18,915.77,9.42,0.0260993
J094628-002603,20230004817,146.6156,-0.4372,2.703739677,176.5569303,8.341645241,-1.365661144,0.0060366350226104,33.41,702.0,8.16,0.0060305666666666665
J090655-000152,20230005010,136.7371,-0.0376,3.063477096,88.18565428,9.574008942,-0.165333346,0.0186456311494112,181.6,5882.31,9.94,0.018594966666666667
J032531-060744,20230000840,51.378,-6.1353,1.408642703,160.0615047,10.36177826,0.557748675,0.0348107852041721,158.05,747.74,9.54,0.03465413333333333
J033458-054853,20230000976,53.7174,-5.7776,15.91441979,157.3060298,9.641476631,-0.768676341,0.0182860177010297,100.46,803.36,8.96,0.018264799999999998
J032349-055134,20230000932,50.9572,-5.8594,0.095565449,171.2185231,9.655599594,-0.233617678,0.037083875387907,133.15,1709.89,9.97,0.0371022
J115938-032239,20230002520,179.9271,-3.4,7.271527843,32.02090899,10.05618382,-1.443478227,0.0192973278462886,175.49,1136.49,9.24,0.019788333333333335
J122251-033121,20230002427,185.7376,-3.5118,0.479435144,93.03847156,10.6323843,0.557476759,0.0725858137011528,44.65,1134.83,10.3,0.0712431
J124122-030328,20230057467,190.3439,-3.0592,10.52065433,50.07672993,8.719405174,-1.148356676,0.0048749092966318,96.55,4067.9,8.7,0.0048300999999999995
J124428-030018,20230002888,191.1096,-3.0002,26.72854083,199.7878631,10.53272438,-0.00849416,0.0238521192222833,276.89,3391.88,9.93,0.023872
J123906-023029,20230003265,189.7676,-2.4934,41.71888742,29.67008351,10.076087,-0.202694431,0.0232451856136322,213.52,3105.05,9.84,0.023163100000000002
J115611-021146,20230003528,179.0409,-2.1939,7.537027965,178.6138034,9.009760857,-0.707560837,0.021230699494481,109.49,1252.58,9.4,0.021259399999999998
J125156-020439,20230003621,192.9816,-2.0712,104.1028766,45.85249684,10.36937428,0.218440548,0.0228803977370262,174.85,1537.64,9.51,0.022880499999999998
J130049-012136,20230051742,195.222,-1.3491,0.045807173,30.18610849,8.460268021,-0.836396933,0.0227461643517017,202.05,1721.73,9.54,0.0227042
J132426-030507,20230002830,201.1045,-3.0854,10.30027581,175.4625124,10.26017475,-0.75285089,0.021299809217453,78.37,561.68,8.95,0.021308133333333333
J114810-015920,20230003696,177.0335,-1.9844,0.033313715,45.76002251,7.165939331,-1.855810761,0.0051394649781286,94.06,2764.91,8.57,0.0051065
J110353+640051,20230041499,165.976,64.0417,26.92387926,115.4146807,9.247573853,-0.287565231,0.0322511531412601,216.14,1338.07,9.74,0.0322358
J084520+501410,20230031876,131.3108,50.2223,1.845346797,14.42497549,8.638549805,-0.945048153,0.0112201776355504,226.09,1368.59,8.87,0.0109219
J091030+542341,20230036085,137.6272,54.3913,0.113288511,130.9442199,8.686347961,-0.707244933,0.0129982596263289,125.66,1063.92,8.91,0.012984166666666666
