GalaxyID,FASHIID,ra_h1,dec_h1,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1,type
J132921-004647,20230004551,202.3394,-0.7762,186.3864418,9.008,-0.947474599,0.016448788,175.37,2388.98,9.38,0.016406466666666664,S+S
J032531-060744,20230000840,51.378,-6.1353,160.0615047,10.575,0.691,0.034810785,158.05,747.74,9.54,0.03465413333333333,S+S
J122251-033121,20230002427,185.7376,-3.5118,93.03847156,11.142,0.387,0.071248285,44.65,1134.83,10.3,0.0712431,S+S
J110408+640447,20230041499,165.976,64.0417,115.4146807,9.815,-1.236255288,0.032257892,216.14,1338.07,9.74,0.0322358,S+S
J081526+453531,20230027469,123.8721,45.6356,107.6505578,10.867,0.348,0.051000766,320.55,3317.12,10.48,0.050553266666666666,S+E
J082759+493325,20230031342,127.0019,49.5646,156.2306291,9.993,0.077,0.053192519,240.7,762.73,9.89,0.053261800000000005,S+S
J080703+454035,20230027566,121.7399,45.702,79.17604545,10.834,0.169,0.049376044,207.81,930.27,9.93,0.049552033333333335,S+S
J090531+560126,20230037727,136.3836,56.0207,98.53396278,9.706,-0.360104471,0.025446936,143.33,3458.98,9.97,0.025435,S+E
J101118+600045,20230040354,152.82,60.0185,184.89191,8.952,-0.869422555,0.022167167,191.76,892.46,9.27,0.022164633333333333,S+S
J094608+583149,20230039386,146.5073,58.5284,51.6011679,9.386,-0.003071655,0.029942462,315.92,3244.36,10.08,0.029915266666666666,S+S
J094608+583149,20230039386,146.5073,58.5284,51.6011679,9.771,-0.377533048,0.030161209,315.92,3244.36,10.08,0.029915266666666666,S+S
J081602+455853,20230027996,124.0022,46.0025,183.9197043,10.671,-0.865337372,0.043895788,53.88,511.11,9.57,0.0439869,S+S
J135557+625731,20230064046,209.0416,62.9989,192.9916662,9.79,0.322,0.044222206,121.59,667.22,9.63,0.0410909,S+S
J090717+560005,20230037695,136.8346,56.0052,45.09257386,10.421,0.481,0.045224208,268.39,1354.64,10.02,0.04529576666666667,S+S
J090717+560005,20230037695,136.8346,56.0052,45.09257386,10.315,0.045,0.045338098,268.39,1354.64,10.02,0.04529576666666667,S+S
J083434+521309,20230033614,128.6273,52.2298,61.44401091,10.08760166,0.789420784,0.082312241,120.41,1068.23,10.4,0.0822546,S+E
J074438+402158,20230020445,116.1678,40.3762,53.69011669,10.054,-1.042307615,0.019823628,148.73,4218.12,9.82,0.019805766666666665,S+S
J074658+410628,20230021828,116.7241,41.1371,163.3533806,11.023,0.296,0.085902289,152.15,921.15,10.37,0.08584393333333333,S+S
J075155+425119,20230024394,117.9587,42.8473,141.863622,10.199,0.159,0.03178947,294.89,860.52,9.55,0.0317303,S+S
J082956+515824,20230033391,127.4723,51.9641,123.9967917,9.3,-0.538439095,0.017422777,193.78,5287.71,9.81,0.017362233333333334,S+S
J075525+452621,20230027206,118.8524,45.4337,46.68579041,9.831,0.342,0.050703999,164.34,1366.69,10.1,0.05054773333333333,S+S
J075525+452621,20230027206,118.8524,45.4337,46.68579041,9.51,0.025,0.050567325,164.34,1366.69,10.1,0.05054773333333333,S+S
